Alleged deployer of AI system,risk_domain,Entity,Intent,deployer_category,developer_category,frequency,year,month,log_expected_loss
"[""individual-kaggle-competitors""]","7. AI system safety, failures, and limitations",AI,Unintentional,freelancer_or_individual,freelancer_or_individual,53,2017,5,3.8096643280021065
"[""janelle-shane""]","7. AI system safety, failures, and limitations",AI,Unintentional,freelancer_or_individual,freelancer_or_individual,53,2017,12,3.8096643280021065
"[""google""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,1,5.228972390475821
"[""heriot-watt-university"",""margiotta""]","7. AI system safety, failures, and limitations",AI,Unintentional,academic_lab,academic_lab,32,2018,1,3.5586897390554655
"[""openai""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,12,5.228972390475821
"[""tencent-holdings""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,8,5.228972390475821
"[""tesla"",""motorist""]",5. Human-Computer Interaction,Human,Intentional,regulated_corporation,regulated_corporation,364,2018,12,5.202311628313143
"[""knightscope""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,unregulated_startup,364,2017,7,0.3575483612357528
"[""skh-metals""]","7. AI system safety, failures, and limitations",AI,Unintentional,unregulated_startup,freelancer_or_individual,76,2015,7,4.064508274010254
"[""volvo""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,2,5.228972390475821
"[""google""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,9,5.228972390475821
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2017,10,5.228972390475821
"[""niantic-labs""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2016,3,5.537957874467922
"[""detroit-police-department""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,unregulated_startup,101,2020,1,4.504761472425569
"[""google""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2012,1,5.537957874467922
"[""buenos-aires-city-government""]",2. Privacy & Security,Human,Unintentional,public_agency,freelancer_or_individual,101,2020,10,4.847295084747077
"[""knightscope""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,unregulated_startup,364,2019,10,0.3575483612357528
"[""international-baccalaurette""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,open_source_community,101,2020,7,4.541686514023718
"[""chronic-kidney-disease-epidemiology-collaboration""]",1. Discrimination and Toxicity,Human,Unintentional,academic_lab,academic_lab,32,1999,3,3.8632556531810835
"[""inverness-caledonian-thistle-football-club""]","7. AI system safety, failures, and limitations",AI,Unintentional,unregulated_startup,freelancer_or_individual,76,2020,10,4.064508274010254
"[""facebook""]",3. Misinformation,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,10,5.358791362346466
"[""yahoo"",""outlook"",""laposte"",""gmx"",""gmail""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,10,5.537957874467922
"[""facebook""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,10,5.228972390475821
"[""openai""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,10,5.228972390475821
"[""irish-department-of-education-and-skills""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,public_agency,101,2020,10,4.5356481905260555
"[""uk-home-office""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,public_agency,101,2020,10,4.84361050004615
"[""google""]",1. Discrimination and Toxicity,Human,Intentional,regulated_corporation,regulated_corporation,364,2017,8,5.537957874467922
"[""youtube""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,3,5.537957874467922
"[""stanford-medical-center""]",1. Discrimination and Toxicity,AI,Unintentional,academic_lab,academic_lab,32,2020,12,3.8632556531810835
"[""goldman-sachs""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,11,5.537957874467922
"[""facebook""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,8,5.537957874467922
"[""deliveroo""]",1. Discrimination and Toxicity,AI,Unintentional,unregulated_startup,regulated_corporation,76,2020,11,1.7956682427651083
"[""hirevue""]",1. Discrimination and Toxicity,AI,Intentional,regulated_corporation,regulated_corporation,364,2019,11,5.537957874467922
"[""houston-independent-school-district""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,regulated_corporation,101,2017,5,2.6913348121172347
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,10,5.228972390475821
"[""new-york-city-police-department""]",5. Human-Computer Interaction,Human,Unintentional,public_agency,regulated_corporation,101,2021,4,2.6658839053470507
"[""university-of-massachusetts-amherst"",""university-of-wisconsin-milwaukee"",""university-of-houston"",""texas-aandm-university"",""georgia-state-university"",""more-than-500-colleges""]",1. Discrimination and Toxicity,AI,Unintentional,academic_lab,unregulated_startup,32,2012,1,3.5447956009710757
"[""dutch-tax-authority""]",1. Discrimination and Toxicity,Other,Unintentional,public_agency,freelancer_or_individual,101,2018,9,4.762368059955885
"[""microsoft"",""ibm"",""google"",""apple"",""amazon""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,3,5.537957874467922
"[""twitter""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,9,5.537957874467922
"[""california-department-of-public-health""]",1. Discrimination and Toxicity,AI,Unintentional,public_agency,regulated_corporation,101,2021,2,2.9883393951165784
"[""tesla""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2019,8,5.228972390475821
"[""facebook-messenger""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,unregulated_startup,364,2020,12,0.5245171426002329
"[""none""]",1. Discrimination and Toxicity,Human,Intentional,freelancer_or_individual,regulated_corporation,53,2018,7,2.3310746337918915
"[""riverside-arena-skating-rink""]",1. Discrimination and Toxicity,AI,Unintentional,unregulated_startup,freelancer_or_individual,76,2021,7,4.371237880005895
"[""pimeyes""]",2. Privacy & Security,Human,Intentional,unregulated_startup,unregulated_startup,76,2017,1,4.164408841230285
"[""arkansas-department-of-human-services""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,open_source_community,101,2016,1,4.541686514023718
"[""amazon-flex""]",5. Human-Computer Interaction,AI,Intentional,regulated_corporation,regulated_corporation,364,2015,9,5.202311628313143
"[""troy-police-department"",""syracuse-police-department"",""san-francisco-police-department"",""san-antonio-police-department"",""new-york-city-police-department"",""fall-river-police-department"",""chicago-police-department""]","7. AI system safety, failures, and limitations",AI,Unintentional,public_agency,regulated_corporation,101,2012,10,2.6913348121172347
"[""facebook""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,6,5.537957874467922
"[""amazon""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2018,7,5.537957874467922
"[""genderify""]",1. Discrimination and Toxicity,AI,Unintentional,unregulated_startup,open_source_community,76,2020,7,4.467903350044729
"[""amazon""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,unregulated_startup,364,2021,9,0.3575483612357528
"[""tiktok""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,2,5.537957874467922
"[""openai""]",1. Discrimination and Toxicity,AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,8,5.537957874467922
"[""unknown""]",5. Human-Computer Interaction,AI,Unintentional,freelancer_or_individual,open_source_community,53,2020,9,3.8704084129947995
"[""facebook""]",2. Privacy & Security,AI,Unintentional,regulated_corporation,regulated_corporation,364,2015,6,5.6231548999827705
"[""university-of-michigan-hospital""]","7. AI system safety, failures, and limitations",AI,Unintentional,academic_lab,regulated_corporation,32,2021,8,2.217798280669042
"[""unnamed-large-academic-hospital""]",1. Discrimination and Toxicity,AI,Unintentional,academic_lab,regulated_corporation,32,2019,10,2.506844628347424
"[""amazon""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2020,9,5.228972390475821
"[""ocado""]","7. AI system safety, failures, and limitations",AI,Unintentional,regulated_corporation,regulated_corporation,364,2021,7,5.228972390475821
"[""microsoft"",""msn.com""]",1. Discrimination and Toxicity,Human,Intentional,regulated_corporation,regulated_corporation,364,2020,6,5.537957874467922
